DAY,ANIMALS_NUMBER,AVERAGE_ENERGY,ANIMAL_LIFE_EXPECTANCY,PLANTS_NUMBER,FREE_PLACES,DEAD_ANIMALS
1,50,50,0,95,2355,0
2,50,49,0,115,2335,0
3,50,48,0,133,2317,0
4,50,47,0,150,2300,0
5,50,46,0,169,2281,0
6,50,46,0,186,2264,0
7,50,46,0,201,2249,0
8,50,48,0,215,2235,0
9,50,50,0,225,2225,0
10,51,49,0,240,2209,0
11,52,50,0,252,2196,0
12,52,51,0,263,2185,0
13,51,53,0,271,2178,0
14,51,53,0,285,2164,0
15,52,53,0,296,2152,0
16,53,54,0,308,2139,0
17,53,55,0,317,2130,0
18,55,52,0,333,2112,0
19,54,52,0,348,2098,0
20,54,53,0,358,2088,0
21,55,52,0,371,2074,0
22,55,53,0,386,2059,0
23,55,54,0,396,2049,0
24,55,54,0,409,2036,0
25,55,56,0,421,2024,0
26,55,60,0,426,2019,0
27,55,60,0,437,2008,0
28,55,62,0,448,1997,0
29,55,62,0,462,1983,0
30,55,63,0,476,1969,0
31,55,65,0,481,1964,0
32,56,66,0,490,1954,0
33,55,68,45,501,1944,2
34,54,71,45,510,1936,3
35,54,73,45,519,1927,3
36,54,74,45,528,1918,3
37,54,76,45,535,1911,3
38,54,77,45,546,1900,3
39,54,78,45,556,1890,3
40,55,81,45,556,1889,3
41,56,82,45,564,1880,3
42,56,83,45,573,1871,3
43,56,84,45,583,1861,3
44,55,88,45,589,1856,4
45,55,90,45,592,1853,4
46,56,90,45,601,1843,4
47,56,94,45,601,1843,4
48,57,95,45,607,1836,4
49,57,98,45,613,1830,4
50,60,94,45,621,1819,4
51,60,96,45,629,1811,4
52,60,98,45,636,1804,4
53,60,101,45,639,1801,4
54,60,103,45,646,1794,4
55,60,105,45,649,1791,4
56,61,106,45,652,1787,4
57,61,109,45,656,1783,4
58,62,109,45,663,1775,4
59,62,110,45,672,1766,4
60,62,112,45,673,1765,4
61,62,114,45,680,1758,4
62,62,115,45,688,1750,4
63,63,114,45,700,1737,4
64,63,116,45,703,1734,4
65,63,119,45,706,1731,4
66,64,120,45,708,1728,4
67,65,121,45,713,1722,4
68,65,122,45,716,1719,4
69,66,123,45,716,1718,4
70,66,127,45,717,1717,4
71,67,128,45,719,1714,4
72,70,125,45,722,1708,4
73,72,123,45,726,1702,4
74,73,123,45,732,1695,4
75,74,123,45,735,1691,4
76,74,124,45,738,1688,4
77,74,128,45,738,1688,4
78,75,129,45,736,1689,4
79,76,129,45,741,1683,4
80,76,132,45,739,1685,4
81,76,133,45,743,1681,4
82,76,136,45,739,1685,4
83,77,135,45,744,1679,4
84,78,137,45,742,1680,4
85,81,132,45,749,1670,4
86,82,133,45,748,1670,4
87,84,132,45,753,1663,4
88,86,132,45,747,1667,4
89,87,133,45,745,1668,4
90,87,136,45,740,1673,4
91,87,139,45,738,1675,4
92,87,142,45,738,1675,4
93,89,141,45,740,1671,4
94,89,142,45,743,1668,4
95,89,143,45,746,1665,4
96,92,140,45,748,1660,4
97,93,140,45,754,1653,4
98,93,142,45,754,1653,4
99,94,142,45,755,1651,4
100,95,141,45,761,1644,4
101,95,142,45,766,1639,4
102,95,145,45,762,1643,4
103,95,147,45,760,1645,4
104,97,146,45,756,1647,4
105,100,144,45,759,1641,4
106,101,144,45,757,1642,4
107,103,145,57,748,1649,5
108,104,143,57,756,1640,5
109,105,144,57,757,1638,5
110,106,144,57,763,1631,5
111,106,145,57,766,1628,5
112,107,146,57,763,1630,5
113,108,147,57,763,1629,5
114,110,146,57,759,1631,5
115,112,145,57,756,1632,5
116,114,144,65,759,1627,6
117,114,144,65,764,1622,6
118,114,146,65,763,1623,6
119,117,145,65,757,1626,6
120,120,143,65,750,1630,6
121,120,145,65,743,1637,6
122,123,144,65,743,1634,6
123,124,144,65,737,1639,6
124,125,145,65,738,1637,6
125,129,141,65,737,1634,6
126,131,141,65,738,1631,6
127,132,140,65,739,1629,6
128,134,140,65,735,1631,6
129,134,141,65,732,1634,6
130,135,142,65,727,1638,6
131,139,140,65,725,1636,6
132,141,139,65,723,1636,6
133,141,140,62,721,1638,7
134,142,141,62,714,1644,10
135,147,137,62,716,1637,10
136,149,137,62,717,1634,10
137,150,136,65,716,1634,11
138,150,138,65,713,1637,11
139,157,134,65,703,1640,11
140,161,132,65,699,1640,11
141,161,134,65,690,1649,11
142,163,134,69,684,1653,14
143,168,131,69,685,1647,14
144,168,132,68,683,1649,15
145,173,129,68,680,1647,15
146,175,128,68,678,1647,15
147,179,126,66,673,1648,16
148,182,126,66,665,1653,16
149,188,122,66,665,1647,16
150,191,122,66,655,1654,16
151,191,124,66,641,1668,16
152,192,124,66,639,1669,16
153,195,123,66,637,1668,16
154,196,123,66,632,1672,16
155,196,124,66,637,1667,16
156,196,125,65,629,1675,17
157,197,125,65,625,1678,17
158,201,124,65,617,1682,17
159,201,125,65,609,1690,17
160,203,125,65,602,1695,17
161,206,125,64,594,1700,18
162,208,126,69,582,1710,19
163,211,125,69,579,1710,19
164,212,125,69,574,1714,19
165,216,124,69,565,1719,19
166,217,125,69,558,1725,19
167,219,124,69,558,1723,19
168,222,123,69,558,1720,19
169,228,120,69,561,1711,19
170,232,119,69,555,1713,19
171,234,119,69,551,1715,19
172,236,119,74,543,1721,20
173,238,119,74,532,1730,20
174,238,119,75,533,1729,21
175,241,118,75,530,1729,21
176,242,119,73,525,1733,23
177,242,119,78,527,1731,25
178,246,117,78,529,1725,25
179,251,115,78,526,1723,25
180,254,114,78,522,1724,25
181,256,113,78,525,1719,26
182,259,113,82,520,1721,27
183,263,112,80,518,1719,29
184,269,109,79,518,1713,31
185,269,110,78,510,1721,34
186,270,111,77,502,1728,37
187,274,110,76,491,1735,39
188,276,110,75,485,1739,42
189,279,109,75,486,1735,44
190,280,109,74,480,1740,46
191,283,108,74,472,1745,48
192,286,108,77,463,1751,54
193,288,108,78,455,1757,60
194,289,109,78,447,1764,65
195,292,108,78,445,1763,68
196,293,108,77,442,1765,72
197,294,108,77,433,1773,74
198,293,109,77,426,1781,76
199,297,109,77,417,1786,76
200,300,108,77,412,1788,77
201,301,108,78,407,1792,79
202,302,109,79,398,1800,81
203,303,109,79,387,1810,82
204,306,108,79,390,1804,82
205,311,107,80,382,1807,83
206,316,105,80,378,1806,84
207,318,105,79,381,1801,85
208,319,105,79,375,1806,86
209,323,104,79,372,1805,86
210,324,104,79,369,1807,88
211,333,102,79,362,1805,88
212,334,102,82,357,1809,91
213,339,101,82,348,1813,94
214,341,100,82,344,1815,95
215,343,100,83,342,1815,96
216,344,100,84,346,1810,99
217,346,100,85,338,1816,101
218,353,98,85,328,1819,102
219,359,96,85,327,1814,103
220,361,96,84,319,1820,106
221,363,96,84,322,1815,107
222,366,95,85,314,1820,108
223,369,95,85,302,1829,110
224,372,94,84,298,1830,114
225,377,94,85,286,1837,118
226,381,93,86,281,1838,123
227,384,92,87,278,1838,128
228,387,92,88,273,1840,132
229,387,92,89,265,1848,136
230,387,93,90,256,1857,141
231,393,92,89,244,1863,143
232,400,90,89,242,1858,144
233,404,90,89,234,1862,147
234,409,89,88,226,1865,149
235,410,89,88,215,1875,152
236,413,89,88,206,1881,153
237,424,86,88,203,1873,154
238,431,85,88,208,1861,155
239,435,84,88,196,1869,156
240,437,84,88,200,1863,159
241,440,83,89,190,1870,162
242,442,83,90,186,1872,165
243,448,82,92,185,1867,168
244,452,81,92,179,1869,172
245,459,79,94,183,1858,174
246,464,78,95,181,1855,177
247,468,78,97,178,1854,181
248,471,77,98,168,1861,183
249,474,77,99,167,1859,187
250,481,76,100,160,1859,191
251,482,76,100,160,1858,196
